# vega universe v1 — built 2026-07-05
# equities: S&P 500 + Nasdaq-100 (Wikipedia constituent snapshot, Yahoo symbol notation)
# etfs: curated liquid list
# filter (equity/etf): median 60-session dollar volume >= $20,000,000
# crypto: CoinGecko top-20 mcap, ex stable/wrapped, Binance USDT pair
symbol,asset_class,name,coingecko_id,binance_symbol
EQT,equity,"EQT Corporation",,
ERIE,equity,"Erie Indemnity",,
ES,equity,"Eversource Energy",,
ESS,equity,"Essex Property Trust",,
ETN,equity,"Eaton Corporation",,
ETR,equity,"Entergy",,
EVRG,equity,"Evergy",,
EW,equity,"Edwards Lifesciences",,
EXC,equity,"Exelon",,
EXE,equity,"Expand Energy",,
EXPD,equity,"Expeditors International",,
EXPE,equity,"Expedia Group",,
EXR,equity,"Extra Space Storage",,
F,equity,"Ford Motor Company",,
FANG,equity,"Diamondback Energy",,
FAST,equity,"Fastenal",,
FCX,equity,"Freeport-McMoRan",,
FDS,equity,"FactSet",,
FDX,equity,"FedEx",,
FE,equity,"FirstEnergy",,
FER,equity,"Ferrovial",,
FFIV,equity,"F5, Inc.",,
FICO,equity,"Fair Isaac",,
FIS,equity,"Fidelity National Information Services",,
FISV,equity,"Fiserv",,
FITB,equity,"Fifth Third Bancorp",,
FIX,equity,"Comfort Systems USA",,
FLEX,equity,"Flex Ltd.",,
FOX,equity,"Fox Corporation (Class B)",,
FOXA,equity,"Fox Corporation (Class A)",,
FRT,equity,"Federal Realty Investment Trust",,
FSLR,equity,"First Solar",,
FTNT,equity,"Fortinet",,
FTV,equity,"Fortive",,
GD,equity,"General Dynamics",,
GDDY,equity,"GoDaddy",,
GE,equity,"GE Aerospace",,
GEHC,equity,"GE HealthCare",,
GEN,equity,"Gen Digital",,
GEV,equity,"GE Vernova",,
GILD,equity,"Gilead Sciences",,
GIS,equity,"General Mills",,
GL,equity,"Globe Life",,
GLW,equity,"Corning Inc.",,
GM,equity,"General Motors",,
GNRC,equity,"Generac",,
GOOG,equity,"Alphabet Inc. (Class C)",,
GOOGL,equity,"Alphabet Inc. (Class A)",,
GPC,equity,"Genuine Parts Company",,
GPN,equity,"Global Payments",,
GRMN,equity,"Garmin",,
GS,equity,"Goldman Sachs",,
GWW,equity,"W. W. Grainger",,
HAL,equity,"Halliburton",,
HAS,equity,"Hasbro",,
HBAN,equity,"Huntington Bancshares",,
HCA,equity,"HCA Healthcare",,
HD,equity,"Home Depot (The)",,
HIG,equity,"Hartford (The)",,
HII,equity,"Huntington Ingalls Industries",,
HLT,equity,"Hilton Worldwide",,
HON,equity,"Honeywell Technologies",,
HOOD,equity,"Robinhood Markets",,
HPE,equity,"Hewlett Packard Enterprise",,
HPQ,equity,"HP Inc.",,
HRL,equity,"Hormel Foods",,
HSIC,equity,"Henry Schein",,
HST,equity,"Host Hotels & Resorts",,
HSY,equity,"Hershey Company (The)",,
HUBB,equity,"Hubbell Incorporated",,
HUM,equity,"Humana",,
HWM,equity,"Howmet Aerospace",,
IBKR,equity,"Interactive Brokers",,
IBM,equity,"IBM",,
ICE,equity,"Intercontinental Exchange",,
IDXX,equity,"Idexx Laboratories",,
IEX,equity,"IDEX Corporation",,
IFF,equity,"International Flavors & Fragrances",,
INCY,equity,"Incyte",,
INTC,equity,"Intel",,
INTU,equity,"Intuit",,
INVH,equity,"Invitation Homes",,
IP,equity,"International Paper",,
IQV,equity,"IQVIA",,
IR,equity,"Ingersoll Rand",,
IRM,equity,"Iron Mountain",,
ISRG,equity,"Intuitive Surgical",,
IT,equity,"Gartner",,
ITW,equity,"Illinois Tool Works",,
IVZ,equity,"Invesco",,
J,equity,"Jacobs Solutions",,
JBHT,equity,"J.B. Hunt",,
JBL,equity,"Jabil",,
JCI,equity,"Johnson Controls",,
JKHY,equity,"Jack Henry & Associates",,
JNJ,equity,"Johnson & Johnson",,
JPM,equity,"JPMorgan Chase",,
KDP,equity,"Keurig Dr Pepper",,
KEY,equity,"KeyCorp",,
KEYS,equity,"Keysight Technologies",,
KHC,equity,"Kraft Heinz",,
KIM,equity,"Kimco Realty",,
KKR,equity,"KKR & Co.",,
KLAC,equity,"KLA Corporation",,
KMB,equity,"Kimberly-Clark",,
KMI,equity,"Kinder Morgan",,
KO,equity,"Coca-Cola Company (The)",,
KR,equity,"Kroger",,
KVUE,equity,"Kenvue",,
L,equity,"Loews Corporation",,
LDOS,equity,"Leidos",,
LEN,equity,"Lennar",,
LH,equity,"Labcorp",,
LHX,equity,"L3Harris",,
LII,equity,"Lennox International",,
LIN,equity,"Linde plc",,
LITE,equity,"Lumentum",,
LLY,equity,"Lilly (Eli)",,
LMT,equity,"Lockheed Martin",,
LNT,equity,"Alliant Energy",,
LOW,equity,"Lowe's",,
LRCX,equity,"Lam Research",,
LULU,equity,"Lululemon Athletica",,
LUV,equity,"Southwest Airlines",,
LVS,equity,"Las Vegas Sands",,
LYB,equity,"LyondellBasell",,
LYV,equity,"Live Nation Entertainment",,
MA,equity,"Mastercard",,
MAA,equity,"Mid-America Apartment Communities",,
MAR,equity,"Marriott International",,
MAS,equity,"Masco",,
MCD,equity,"McDonald's",,
MCHP,equity,"Microchip Technology",,
MCK,equity,"McKesson Corporation",,
MCO,equity,"Moody's Corporation",,
MDLZ,equity,"Mondelez International",,
MDT,equity,"Medtronic",,
